,mahalle,fiyat,brut_alan_m2,net_alan_m2,oda_sayisi,bina_yas,dairenin_bulundugu_kat,bina_kat_sayisi,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,aidat,depozito,sahibi
1,Bayındır Mh.,15000.0,90.0,80.0,2+1,21-25 arası,Giriş Katı,4.0,Klima,1.0,0,0,Açık Otopark,1,0,100,15000,0
2,Çaybaşı Mh.,29000.0,145.0,135.0,3+1,0,1,5.0,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,0,1,1500,30000,0
3,Güzeloba Mh.,24750.0,145.0,130.0,3+1,11-15 arası,3,4.0,Klima,1.0,1,0,Açık Otopark,0,0,500,25000,1
4,Şirinyalı Mh.,30000.0,230.0,200.0,3+1,5-10 arası,2,3.0,Doğalgaz Sobası,2.0,0,0,Açık Otopark,1,0,0,30000,0
5,Çağlayan Mh.,37500.0,320.0,300.0,4+2,16-20 arası,8,8.0,Klima,3.0,1,1,Açık Otopark,0,1,0,37500,0
6,Kızılsaray Mh.,25000.0,140.0,130.0,3+1,26-30 arası,Giriş Altı Kot 2,10.0,Klima,1.0,1,1,Yok,1,0,0,50000,1
7,Zerdalilik Mah.,13000.0,120.0,115.0,3+1,31 ve üzeri,1,3.0,Klima,1.0,1,0,Açık Otopark,0,0,100,13000,0
8,Kızılarık Mh.,14000.0,100.0,90.0,2+1,5-10 arası,3,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
9,Meydankavağı Mh.,25000.0,155.0,145.0,3+1,11-15 arası,6,9.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,1,0,25000,0
10,Yenigün Mh.,11500.0,85.0,80.0,2+1,21-25 arası,4,4.0,Klima,1.0,1,0,Yok,0,0,0,22000,0
11,Meltem Mah.,24000.0,130.0,120.0,3+1,26-30 arası,1,8.0,Klima,1.0,1,1,Açık Otopark,1,1,0,44000,0
12,Elmalı Mh.,15800.0,40.0,35.0,1+1,31 ve üzeri,4,4.0,Yerden Isıtma,1.0,0,0,Yok,1,0,0,0,0
13,Güvenlik Mh.,11000.0,25.0,20.0,Stüdyo (1+0),1,1,5.0,Klima,1.0,0,0,Açık Otopark,1,0,0,10000,0
14,Gebizli Mah.,15000.0,70.0,60.0,1+1,5-10 arası,Giriş Katı,4.0,Klima,1.0,0,1,Açık Otopark,0,0,0,0,0
15,Muratpaşa Mh.,12500.0,100.0,95.0,2+1,21-25 arası,4,4.0,Klima,1.0,1,0,Yok,0,0,0,0,0
16,Çağlayan Mh.,13000.0,70.0,60.0,1+1,11-15 arası,Giriş Katı,11.0,Yok,1.0,0,1,Açık Otopark,0,1,1200,13000,0
17,Güzeloba Mh.,15000.0,75.0,70.0,1+1,21-25 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Açık Otopark,1,1,0,15000,0
18,Çağlayan Mh.,55000.0,245.0,225.0,4+1,5-10 arası,4,4.0,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,0,1,2000,60000,0
19,Güzeloba Mh.,17000.0,65.0,60.0,1+1,5-10 arası,Yüksek Giriş,2.0,Kombi (Elektrik),1.0,1,0,Açık Otopark,1,0,0,30000,0
20,Güzeloba Mh.,29000.0,170.0,160.0,3+1,5-10 arası,2,2.0,Klima,2.0,1,0,Açık Otopark,1,0,0,0,0
21,Çağlayan Mh.,18000.0,60.0,55.0,1+1,11-15 arası,Giriş Katı,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,18000,0
22,Etiler Mah.,13500.0,120.0,110.0,3+1,21-25 arası,Giriş Katı,3.0,Yok,1.0,1,0,Açık Otopark,0,0,50,20000,0
23,Fener Mah.,40000.0,200.0,190.0,3+1,16-20 arası,1,11.0,Klima,1.0,1,1,Açık Otopark,0,0,0,40000,0
25,Güzeloba Mh.,40000.0,210.0,180.0,4+1,5-10 arası,2,3.0,Klima,2.0,1,0,Açık Otopark,1,0,50,50000,0
26,Şirinyalı Mh.,25000.0,165.0,150.0,3+1,21-25 arası,3,4.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,50000,0
27,Yüksekalan Mh.,16000.0,105.0,95.0,2+1,11-15 arası,4,5.0,Klima,2.0,1,1,Açık Otopark,0,0,100,16000,0
28,Güzeloba Mh.,45000.0,160.0,150.0,3+1,11-15 arası,Giriş Katı,4.0,Klima,1.0,1,0,Açık Otopark,0,1,0,80000,0
29,Çağlayan Mh.,55000.0,120.0,110.0,2+1,5-10 arası,7,10.0,Kombi (Doğalgaz),2.0,1,1,Açık & Kapalı Otopark,0,1,2910,50000,1
30,Güzeloba Mh.,15000.0,90.0,80.0,2+1,16-20 arası,2,3.0,Klima,1.0,1,1,Açık Otopark,1,0,100,15000,0
31,Meydankavağı Mh.,16500.0,150.0,140.0,3+1,16-20 arası,1,8.0,Klima,1.0,1,1,Açık Otopark,0,0,0,16500,0
32,Elmalı Mh.,25000.0,150.0,140.0,3+1,31 ve üzeri,4,7.0,Klima,1.0,1,1,Yok,0,1,500,25000,0
33,Varlık Mh.,15000.0,135.0,125.0,3+1,21-25 arası,1,5.0,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0
34,Fener Mah.,19000.0,50.0,45.0,1+1,16-20 arası,3,15.0,Klima,1.0,0,1,Açık Otopark,1,0,750,19000,0
35,Konuksever Mah.,15000.0,100.0,90.0,2+1,16-20 arası,3,3.0,Yok,1.0,1,0,Açık Otopark,0,0,100,15000,1
37,Doğuyaka Mh.,20000.0,100.0,85.0,2+1,5-10 arası,1,5.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,300,30000,1
39,Fener Mah.,70000.0,210.0,190.0,3+1,21-25 arası,11,13.0,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,0,1,70000,0,0
40,Bayındır Mh.,18000.0,145.0,130.0,3+1,21-25 arası,2,4.0,Klima,1.0,1,0,Açık Otopark,1,0,70,20000,0
41,Haşimişcan Mh.,24000.0,135.0,125.0,3+1,21-25 arası,6,7.0,Yok,2.0,1,1,Yok,0,0,0,27000,0
42,Yüksekalan Mh.,23000.0,120.0,110.0,2+1,4,3,4.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,23000,0
43,Gençlik Mh.,26000.0,145.0,120.0,3+1,26-30 arası,5,7.0,Klima,1.0,1,1,Yok,1,0,165,50000,0
